LOCATION
POINT(4.881757 52.382256)
POINT(4.90015 52.331627)
POINT(4.920171 52.331635)
POINT(5.147225 52.066631)
POINT(4.999972 51.933584)
POINT(4.976615 51.894084)
POINT(4.946223 51.883789)
POINT(4.966238 51.875448)
POINT(4.960127 51.865174)
POINT(4.954695 51.852229)
POINT(4.947837 51.841638)
POINT(4.943878 51.830977)
POINT(4.94466 51.83318)
POINT(4.918524 51.745687)
POINT(4.90374 51.733081)
POINT(4.89491 51.726661)
POINT(4.890691 51.719881)
POINT(4.888945 51.712801)
POINT(4.888821 51.709507)
POINT(4.861596 51.685196)
POINT(4.86755 51.686845)
POINT(4.886448 51.688292)
POINT(4.884064 51.690282)
POINT(4.877479 51.684605)
POINT(6.770008 52.262317)
POINT(6.761035 52.261419)
POINT(6.737035 52.260771)
POINT(6.686215 52.252455)
POINT(6.687646 52.252895)
POINT(6.674408 52.248345)
POINT(6.666655 52.245822)
POINT(6.658371 52.243752)
POINT(6.640299 52.239582)
POINT(6.63335 52.238013)
POINT(6.626655 52.236448)
POINT(6.609748 52.232582)
POINT(6.579467 52.230264)
POINT(6.55241 52.220181)
POINT(6.55585 52.222723)
POINT(6.544037 52.216333)
POINT(6.554046 52.217698)
POINT(6.515513 52.20278)
POINT(6.491539 52.190896)
POINT(6.480404 52.18534)
POINT(6.461956 52.177086)
POINT(6.45535 52.161216)
POINT(6.423711 52.16754)
POINT(6.394277 52.168076)
POINT(6.366514 52.169308)
POINT(6.33196 52.170446)
POINT(6.286328 52.170382)
POINT(6.265329 52.168454)
POINT(6.251136 52.167125)
POINT(6.236245 52.165701)
POINT(6.221983 52.163229)
POINT(6.196602 52.146123)
POINT(6.196909 52.143321)
POINT(6.196992 52.140377)
POINT(6.197627 52.139651)
POINT(6.196804 52.138672)
POINT(6.197869 52.13942)
POINT(6.195282 52.140394)
POINT(6.196456 52.142964)
POINT(6.204249 52.150214)
POINT(6.212493 52.158311)
POINT(6.243808 52.166422)
POINT(6.272954 52.169151)
POINT(6.312939 52.170911)
POINT(6.345177 52.17016)
POINT(6.41765 52.160568)
POINT(6.505112 52.195987)
POINT(6.52032 52.205156)
POINT(6.530147 52.210004)
POINT(6.596239 52.230436)
POINT(6.649814 52.241723)
POINT(6.696269 52.255938)
POINT(6.704094 52.258032)
POINT(6.708771 52.259501)
POINT(6.713107 52.261971)
POINT(6.747143 52.261012)
POINT(6.781844 52.259014)
POINT(4.484316 51.918079)
POINT(4.487021 51.919389)
POINT(4.485667 51.920879)
POINT(4.487076 51.921311)
POINT(4.487409 51.922762)
POINT(4.489207 51.923619)
POINT(4.505388 51.922869)
POINT(4.482223 51.915845)
POINT(4.480374 51.917918)
POINT(4.48216 51.916506)
POINT(4.490831 51.920632)
POINT(4.743671 52.21534)
POINT(4.924426 51.694227)
POINT(4.665231 51.680273)
POINT(4.443783 51.8675)
POINT(4.394717 51.874629)
POINT(4.381792 51.883539)
POINT(4.378686 51.889847)
POINT(4.376207 51.894862)
POINT(4.218427 51.969464)
POINT(4.216796 51.97722)
POINT(4.221799 51.990611)
POINT(4.216309 52.002421)
POINT(4.214201 52.003617)
POINT(4.203477 52.00548)
POINT(4.920034 52.331787)
POINT(4.224736 51.96343)
POINT(4.2243 51.963672)
POINT(4.229767 51.957576)
POINT(4.232684 51.951321)
POINT(4.240251 51.943437)
POINT(4.242408 51.941892)
POINT(4.258786 51.92985)
POINT(4.284048 51.922553)
POINT(4.298874 51.92069)
POINT(4.32341 51.917702)
POINT(4.328333 51.913139)
POINT(4.540639 51.864126)
POINT(4.539969 51.864096)
POINT(4.549043 51.866125)
POINT(4.648681 51.807562)
POINT(4.649038 51.79907)
POINT(4.648273 51.799548)
