LOCATION
POINT(5.409393 52.12532)
POINT(5.413219 52.106879)
POINT(5.419491 52.162563)
POINT(5.406902 52.141536)
POINT(5.417634 52.155249)
POINT(5.514036 52.159243)
POINT(5.497970581 52.134933472)
POINT(5.435486 52.095108)
POINT(5.425643 52.096939)
POINT(5.387673 52.1445)
POINT(5.433694 52.131478)
POINT(5.421753 52.135509)
POINT(5.419006 52.134933)
POINT(5.40184 52.129898)
POINT(5.419849 52.165563)
POINT(5.401372 52.147428)
POINT(5.426909 52.172177)
POINT(5.406162 52.120797)
POINT(5.398375 52.120803)
POINT(5.419084 52.140972)
POINT(5.396347046 52.151412964)
POINT(5.430679321 52.166519165)
POINT(5.419286 52.133611)
POINT(5.409827 52.126519)
POINT(5.455311 52.174895)
POINT(5.410309 52.109757)
POINT(5.412277 52.109665)
POINT(5.396712 52.13405)
POINT(5.42499 52.162007)
POINT(5.492167 52.163817)
POINT(5.415935 52.162766)
POINT(5.462228 52.165834)
POINT(5.400925 52.124443)
POINT(5.402068 52.161467)
POINT(5.392227173 52.152786255)
POINT(5.419235 52.142258)
POINT(5.395044 52.155379)
POINT(5.420151 52.166977)
POINT(5.404587 52.16083)
POINT(5.398665 52.157523)
POINT(5.416765 52.169913)
POINT(5.446155 52.172696)
POINT(5.433425903 52.110214233)
POINT(5.427932739 52.10609436)
POINT(5.416946411 52.133560181)
POINT(5.434799194 52.103347778)
POINT(5.457688 52.10289)
POINT(5.419692993 52.141799927)
POINT(5.421082 52.16144)
POINT(5.43178 52.14345)
POINT(5.410061 52.142003)
POINT(5.410463 52.138714)
POINT(5.421529 52.165188)
POINT(5.420135 52.162752)
POINT(5.408697 52.150312)
POINT(5.390681 52.134132)
POINT(5.437562 52.174856)
POINT(5.439207 52.174837)
POINT(5.410384 52.155768)
POINT(5.395358 52.140393)
POINT(5.392298 52.143955)
POINT(5.407587 52.159348)
POINT(5.427576 52.149861)
POINT(5.425376 52.135368)
POINT(5.404872 52.139896)
POINT(5.488131 52.173388)
POINT(5.417633 52.165833)
POINT(5.415875 52.110297)
POINT(5.416501 52.097291)
POINT(5.429632 52.135992)
POINT(5.432017 52.138037)
POINT(5.436093 52.171504)
POINT(5.448291 52.169067)
POINT(5.448291 52.169067)
POINT(5.448291 52.169067)
POINT(5.448291 52.169067)
POINT(5.448291 52.169067)
POINT(5.448291 52.169067)
POINT(5.411967 52.125541)
POINT(5.400262 52.131328)
POINT(5.400493 52.129206)
POINT(5.498363 52.163773)
POINT(5.419253 52.095236)
POINT(5.410526 52.164473)
POINT(5.452651978 52.167892456)
POINT(5.408706665 52.143173218)
POINT(5.486161 52.166247)
POINT(5.421066 52.164459)
POINT(5.465011597 52.166519165)
POINT(5.41557312 52.152786255)
POINT(5.418319702 52.158279419)
POINT(5.407333374 52.141799927)
POINT(5.397034 52.136307)
POINT(5.410079956 52.144546509)
POINT(5.489730835 52.165145874)
POINT(5.413531 52.168539)
POINT(5.39708 52.134694)
POINT(5.400164 52.136149)
POINT(5.405617 52.140394)
POINT(5.411274 52.145984)
POINT(5.415484 52.150694)
POINT(5.418436 52.157301)
POINT(5.422903 52.167578)
POINT(5.429046 52.173917)
POINT(5.491874 52.164387)
POINT(5.43352 52.142994)
POINT(5.404427 52.140269)
POINT(5.40674 52.142014)
POINT(5.414621 52.15009)
POINT(5.401945 52.13204)
POINT(5.41666 52.160222)
POINT(5.399878 52.121201)
POINT(5.459518433 52.176132202)
POINT(5.417064 52.161609)
POINT(5.5103302 52.162399292)
POINT(5.447158813 52.167892456)
POINT(5.423812866 52.169265747)
POINT(5.41557312 52.15965271)
POINT(5.489730835 52.165145874)
POINT(5.411453247 52.15965271)
POINT(5.407333374 52.158279419)
POINT(5.472949 52.168085)
POINT(5.52269 52.118912)
POINT(5.495224 52.136765)
POINT(5.484495 52.172441)
POINT(5.493625 52.164715)
POINT(5.392227173 52.121200562)
POINT(5.412826538 52.121200562)
POINT(5.42244 52.154617)
POINT(5.424843 52.1418)
POINT(5.409099 52.144154)
